"MASC","mu_alpha_str","tau_alpha","QE_str","QEp"
"Albarracin_Priming_SAT","0.61 [0.557:0.657]",0.057,"26.019 (8)",".001"
"Alter_Analytic_Processing","0.64 [0.604:0.673]",0.056,"38.384 (20)",".008"
"Hart_Criminal_Intentionality","0.849 [0.811:0.879]",0.054,"66.17 (11)","<.001"
"Husnu_Imagined_Contact","0.814 [0.802:0.825]",0.023,"66.389 (35)",".001"
"Nosek_Explicit_Art","0.881 [0.869:0.891]",0.029,"142.551 (35)","<.001"
"Nosek_Explicit_Math","0.936 [0.932:0.939]",0.007,"59.43 (35)",".006"
"PSACR001_anxiety_int","0.903 [0.89:0.914]",0.041,"494.822 (48)","<.001"
"PSACR002_neg_photo","0.791 [0.774:0.806]",0.047,"350.852 (36)","<.001"
"Shnabel_Willingness_Reconcile_Rev","0.832 [0.818:0.845]",0,"5.053 (7)",".653"
"Shnabel_Willingness_Reconcile_RPP","0.768 [0.737:0.796]",0.032,"17.535 (7)",".014"
"Srull_Ronald_Hostility","0.739 [0.716:0.76]",0.047,"91.722 (21)","<.001"
"Tversky_Directionality_Similarity1","0.854 [0.841:0.866]",0.039,"164.933 (60)","<.001"
